"Date","Not Applicable","Not Seasonally Adjusted"
"1993-04-05",1.040,1.040
"1993-04-12",1.047,1.047
"1993-04-19",1.054,1.054
"1993-04-26",1.059,1.059
"1993-05-03",1.062,1.062
"1993-05-10",1.069,1.069
"1993-05-17",1.073,1.073
"1993-05-24",1.075,1.075
"1993-05-31",1.078,1.078
"1993-06-07",1.078,1.078
"1993-06-14",1.076,1.076
"1993-06-21",1.075,1.075
"1993-06-28",1.072,1.072
"1993-07-05",1.068,1.068
"1993-07-12",1.066,1.066
"1993-07-19",1.062,1.062
"1993-07-26",1.059,1.059
"1993-08-02",1.054,1.054
"1993-08-09",1.051,1.051
"1993-08-16",1.047,1.047
"1993-08-23",1.045,1.045
"1993-08-30",1.041,1.041
"1993-09-06",1.037,1.037
"1993-09-13",1.034,1.034
"1993-09-20",1.028,1.028
"1993-09-27",1.024,1.024
"1993-10-04",1.068,1.068
"1993-10-11",1.064,1.064
"1993-10-18",1.063,1.063
"1993-10-25",1.061,1.061
"1993-11-01",1.057,1.057
"1993-11-08",1.053,1.053
"1993-11-15",1.048,1.048
"1993-11-22",1.043,1.043
"1993-11-29",1.038,1.038
"1993-12-06",1.028,1.028
"1993-12-13",1.015,1.015
"1993-12-20",1.004,1.004
"1993-12-27",0.997,0.997
"1994-01-03",0.992,0.992
"1994-01-10",0.989,0.989
"1994-01-17",0.987,0.987
"1994-01-24",0.985,0.985
"1994-01-31",0.984,0.984
"1994-02-07",0.989,0.989
"1994-02-14",0.996,0.996
"1994-02-21",0.997,0.997
"1994-02-28",0.996,0.996
"1994-03-07",0.994,0.994
"1994-03-14",0.993,0.993
"1994-03-21",0.992,0.992
"1994-03-28",0.996,0.996
"1994-04-04",0.996,0.996
"1994-04-11",1.004,1.004
"1994-04-18",1.008,1.008
"1994-04-25",1.013,1.013
"1994-05-02",1.017,1.017
"1994-05-09",1.018,1.018
"1994-05-16",1.021,1.021
"1994-05-23",1.023,1.023
"1994-05-30",1.028,1.028
"1994-06-06",1.036,1.036
"1994-06-13",1.044,1.044
"1994-06-20",1.050,1.050
"1994-06-27",1.062,1.062
"1994-07-04",1.068,1.068
"1994-07-11",1.070,1.070
"1994-07-18",1.074,1.074
"1994-07-25",1.079,1.079
"1994-08-01",1.089,1.089
"1994-08-08",1.113,1.113
"1994-08-15",1.124,1.124
"1994-08-22",1.127,1.127
"1994-08-29",1.126,1.126
"1994-09-05",1.122,1.122
"1994-09-12",1.121,1.121
"1994-09-19",1.116,1.116
"1994-09-26",1.111,1.111
"1994-10-03",1.105,1.105
"1994-10-10",1.100,1.100
"1994-10-17",1.098,1.098
"1994-10-24",1.098,1.098
"1994-10-31",1.112,1.112
"1994-11-07",1.122,1.122
"1994-11-14",1.121,1.121
"1994-11-21",1.116,1.116
"1994-11-28",1.129,1.129
"1994-12-05",1.147,1.147
"1994-12-12",1.158,1.158
"1994-12-19",1.169,1.169
"1994-12-26",1.163,1.163
"1995-01-02",1.156,1.156
"1995-01-09",1.155,1.155
"1995-01-16",1.150,1.150
"1995-01-23",1.150,1.150
"1995-01-30",1.148,1.148
"1995-02-06",1.145,1.145
"1995-02-13",1.141,1.141
"1995-02-20",1.138,1.138
"1995-02-27",1.137,1.137
"1995-03-06",1.137,1.137
"1995-03-13",1.133,1.133
"1995-03-20",1.129,1.129
"1995-03-27",1.128,1.128
"1995-04-03",1.132,1.132
"1995-04-10",1.143,1.143
"1995-04-17",1.160,1.160
"1995-04-24",1.187,1.187
"1995-05-01",1.200,1.200
"1995-05-08",1.224,1.224
"1995-05-15",1.234,1.234
"1995-05-22",1.252,1.252
"1995-05-29",1.262,1.262
"1995-06-05",1.264,1.264
"1995-06-12",1.263,1.263
"1995-06-19",1.260,1.260
"1995-06-26",1.256,1.256
"1995-07-03",1.249,1.249
"1995-07-10",1.244,1.244
"1995-07-17",1.238,1.238
"1995-07-24",1.229,1.229
"1995-07-31",1.218,1.218
"1995-08-07",1.213,1.213
"1995-08-14",1.205,1.205
"1995-08-21",1.201,1.201
"1995-08-28",1.197,1.197
"1995-09-04",1.188,1.188
"1995-09-11",1.185,1.185
"1995-09-18",1.180,1.180
"1995-09-25",1.178,1.178
"1995-10-02",1.172,1.172
"1995-10-09",1.167,1.167
"1995-10-16",1.159,1.159
"1995-10-23",1.149,1.149
"1995-10-30",1.140,1.140
"1995-11-06",1.131,1.131
"1995-11-13",1.125,1.125
"1995-11-20",1.118,1.118
"1995-11-27",1.117,1.117
"1995-12-04",1.118,1.118
"1995-12-11",1.118,1.118
"1995-12-18",1.122,1.122
"1995-12-25",1.126,1.126
"1996-01-01",1.132,1.132
"1996-01-08",1.135,1.135
"1996-01-15",1.146,1.146
"1996-01-22",1.145,1.145
"1996-01-29",1.141,1.141
"1996-02-05",1.139,1.139
"1996-02-12",1.135,1.135
"1996-02-19",1.134,1.134
"1996-02-26",1.144,1.144
"1996-03-04",1.158,1.158
"1996-03-11",1.163,1.163
"1996-03-18",1.169,1.169
"1996-03-25",1.192,1.192
"1996-04-01",1.211,1.211
"1996-04-08",1.232,1.232
"1996-04-15",1.276,1.276
"1996-04-22",1.292,1.292
"1996-04-29",1.302,1.302
"1996-05-06",1.312,1.312
"1996-05-13",1.315,1.315
"1996-05-20",1.316,1.316
"1996-05-27",1.313,1.313
"1996-06-03",1.311,1.311
"1996-06-10",1.304,1.304
"1996-06-17",1.294,1.294
"1996-06-24",1.287,1.287
"1996-07-01",1.278,1.278
"1996-07-08",1.273,1.273
"1996-07-15",1.269,1.269
"1996-07-22",1.265,1.265
"1996-07-29",1.261,1.261
"1996-08-05",1.254,1.254
"1996-08-12",1.249,1.249
"1996-08-19",1.245,1.245
"1996-08-26",1.242,1.242
"1996-09-02",1.238,1.238
"1996-09-09",1.240,1.240
"1996-09-16",1.241,1.241
"1996-09-23",1.240,1.240
"1996-09-30",1.239,1.239
"1996-10-07",1.236,1.236
"1996-10-14",1.243,1.243
"1996-10-21",1.250,1.250
"1996-10-28",1.257,1.257
"1996-11-04",1.270,1.270
"1996-11-11",1.273,1.273
"1996-11-18",1.287,1.287
"1996-11-25",1.294,1.294
"1996-12-02",1.299,1.299
"1996-12-09",1.304,1.304
"1996-12-16",1.305,1.305
"1996-12-23",1.305,1.305
"1996-12-30",1.303,1.303
"1997-01-06",1.303,1.303
"1997-01-13",1.308,1.308
"1997-01-20",1.307,1.307
"1997-01-27",1.303,1.303
"1997-02-03",1.302,1.302
"1997-02-10",1.300,1.300
"1997-02-17",1.295,1.295
"1997-02-24",1.289,1.289
"1997-03-03",1.282,1.282
"1997-03-10",1.276,1.276
"1997-03-17",1.267,1.267
"1997-03-24",1.263,1.263
"1997-03-31",1.261,1.261
"1997-04-07",1.258,1.258
"1997-04-14",1.253,1.253
"1997-04-21",1.245,1.245
"1997-04-28",1.239,1.239
"1997-05-05",1.238,1.238
"1997-05-12",1.234,1.234
"1997-05-19",1.237,1.237
"1997-05-26",1.239,1.239
"1997-06-02",1.241,1.241
